Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,SE Palmeiras,55.0,25.1,4,€ 2.57 mi.,€ 141.13 mi.,
,CR Flamengo,48.0,23.6,7,€ 2.46 mi.,€ 118.15 mi.,
,São Paulo FC,62.0,22.7,5,€ 1.45 mi.,€ 90.13 mi.,
,Grêmio FBPA,54.0,23.6,2,€ 1.31 mi.,€ 70.75 mi.,
,Santos FC,55.0,23.3,8,€ 1.25 mi.,€ 68.88 mi.,
,SC Internacional,50.0,24.4,9,€ 1.23 mi.,€ 61.45 mi.,
,SC Corinthians,54.0,23.5,6,€ 1.13 mi.,€ 60.80 mi.,
,Cruzeiro EC,46.0,23.8,5,€ 1.12 mi.,€ 51.43 mi.,
,Atlético Mineiro,59.0,23.5,8,€ 846 mil,€ 49.90 mi.,
,EC Bahia,59.0,23.9,1,€ 744 mil,€ 43.90 mi.,
,CR Vasco da Gama,63.0,23.5,4,€ 694 mil,€ 43.75 mi.,
,Fluminense FC,60.0,22.9,2,€ 664 mil,€ 39.85 mi.,
,Athletico Paranaense,68.0,22.3,6,€ 543 mil,€ 36.95 mi.,
,Botafogo FR,47.0,23.3,5,€ 704 mil,€ 33.10 mi.,
,Chapecoense,58.0,25.1,2,€ 570 mil,€ 33.05 mi.,
,CSA,62.0,26.1,8,€ 463 mil,€ 28.70 mi.,
,Fortaleza EC,48.0,25.5,4,€ 513 mil,€ 24.60 mi.,
,Goiás EC,61.0,23.2,2,€ 386 mil,€ 23.55 mi.,
,Ceará SC,48.0,25.6,0,€ 461 mil,€ 22.15 mi.,
,Avaí FC,55.0,24.2,4,€ 242 mil,€ 13.30 mi.,
,,,1112.0,24.0 Anos,92,€ 949 mil,€ 1.06 Bi.
