Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,São Paulo FC,53.0,23.6,7,€ 1.86 mi.,€ 98.60 mi.,
,CR Flamengo,48.0,23.7,7,€ 1.91 mi.,€ 91.45 mi.,
,Cruzeiro EC,50.0,23.6,6,€ 1.77 mi.,€ 88.40 mi.,
,Atlético Mineiro,57.0,23.9,4,€ 1.54 mi.,€ 87.93 mi.,
,SE Palmeiras,47.0,25.3,4,€ 1.57 mi.,€ 73.95 mi.,
,Grêmio FBPA,76.0,22.6,9,€ 878 mil,€ 66.75 mi.,
,SC Corinthians,43.0,23.5,3,€ 1.31 mi.,€ 56.20 mi.,
,Santos FC,47.0,23.5,5,€ 1.11 mi.,€ 52.20 mi.,
,Sport Recife,58.0,22.3,3,€ 814 mil,€ 47.20 mi.,
,EC Vitória,47.0,24.6,6,€ 988 mil,€ 46.45 mi.,
,CR Vasco da Gama,47.0,24.7,5,€ 960 mil,€ 45.10 mi.,
,Clube Atlético Paranaense,60.0,22.7,4,€ 750 mil,€ 44.98 mi.,
,Chapecoense,62.0,23.0,6,€ 637 mil,€ 39.48 mi.,
,Fluminense FC,51.0,22.6,2,€ 728 mil,€ 37.15 mi.,
,Coritiba FC,53.0,24.3,2,€ 651 mil,€ 34.53 mi.,
,EC Bahia,48.0,23.1,4,€ 710 mil,€ 34.10 mi.,
,Botafogo FR,52.0,23.3,5,€ 585 mil,€ 30.40 mi.,
,AA Ponte Preta,53.0,24.4,3,€ 537 mil,€ 28.48 mi.,
,Atlético Goianiense,57.0,23.2,0,€ 276 mil,€ 15.73 mi.,
,Avaí FC,57.0,23.4,5,€ 262 mil,€ 14.93 mi.,
,,,1066.0,23.6 Anos,90,€ 970 mil,€ 1.03 Bi.
