#,Clube,Clube.1,Unnamed: 3,V,E,D,Gols,SG,Pts
1,,Palmeiras,38,23,12,3,66:27,39,81
2,,Internacional,38,20,13,5,58:31,27,73
3,,Fluminense,38,21,7,10,63:41,22,70
4,,Corinthians,38,18,11,9,44:36,8,65
5,,Flamengo,38,18,8,12,60:39,21,62
6,,Athletico-PR,38,16,10,12,48:48,0,58
7,,Atlético-MG,38,15,13,10,45:37,8,58
8,,Fortaleza,38,15,10,13,46:39,7,55
9,,São Paulo,38,13,15,10,55:42,13,54
10,,América-MG,38,15,8,15,40:40,0,53
11,,Botafogo,38,15,8,15,41:43,-2,53
12,,Santos,38,12,11,15,44:41,3,47
13,,Goiás,38,11,13,14,40:53,-13,46
14,,Bragantino,38,11,11,16,49:59,-10,44
15,,Coritiba,38,12,6,20,39:60,-21,42
16,,Cuiabá,38,10,11,17,31:42,-11,41
17,,Ceará,38,7,16,15,34:41,-7,37
18,,Atlético-GO,38,8,12,18,39:57,-18,36
19,,Avaí,38,9,8,21,34:60,-26,35
20,,Juventude,38,3,13,22,29:69,-40,22
