Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,SC Corinthians,57.0,23.7,8,€ 1.99 mi.,€ 113.45 mi.,
,CR Flamengo,64.0,22.0,9,€ 1.64 mi.,€ 105.10 mi.,
,SE Palmeiras,57.0,22.5,8,€ 1.54 mi.,€ 88.00 mi.,
,Atlético Mineiro,60.0,23.3,11,€ 1.17 mi.,€ 70.15 mi.,
,SC Internacional,52.0,23.4,11,€ 1.31 mi.,€ 68.25 mi.,
,Grêmio FBPA,51.0,24.8,4,€ 1.28 mi.,€ 65.30 mi.,
,São Paulo FC,47.0,22.9,6,€ 1.07 mi.,€ 50.20 mi.,
,Santos FC,55.0,22.5,6,€ 738 mil,€ 40.58 mi.,
,EC Bahia,68.0,23.1,1,€ 583 mil,€ 39.68 mi.,
,CR Vasco da Gama,50.0,23.0,5,€ 778 mil,€ 38.90 mi.,
,Coritiba FC,61.0,24.0,4,€ 581 mil,€ 35.45 mi.,
,Botafogo FR,64.0,22.3,9,€ 488 mil,€ 31.25 mi.,
,Athletico Paranaense,71.0,22.1,5,€ 435 mil,€ 30.85 mi.,
,Goiás EC,71.0,22.8,7,€ 411 mil,€ 29.20 mi.,
,Fluminense FC,57.0,23.0,3,€ 483 mil,€ 27.53 mi.,
,Sport Recife,59.0,23.5,3,€ 464 mil,€ 27.38 mi.,
,Ceará SC,48.0,24.8,0,€ 484 mil,€ 23.25 mi.,
,Atlético Goianiense,67.0,21.6,1,€ 317 mil,€ 21.25 mi.,
,Fortaleza EC,44.0,25.4,4,€ 447 mil,€ 19.65 mi.,
,RB Bragantino,42.0,22.4,5,€ 368 mil,€ 15.48 mi.,
,,,1145.0,23.2 Anos,110,€ 822 mil,€ 940.88 mi.
