Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,CR Flamengo,58.0,22.4,5,€ 3.33 mi.,€ 193.10 mi.,
,Atlético Mineiro,40.0,25.7,7,€ 3.46 mi.,€ 138.40 mi.,
,Botafogo FR,64.0,24.1,14,€ 1.98 mi.,€ 126.43 mi.,
,SE Palmeiras,42.0,23.0,7,€ 2.87 mi.,€ 120.50 mi.,
,São Paulo FC,50.0,23.5,11,€ 2.24 mi.,€ 112.18 mi.,
,Grêmio FBPA,62.0,23.5,10,€ 1.61 mi.,€ 99.98 mi.,
,SC Corinthians,48.0,23.2,8,€ 2.08 mi.,€ 99.95 mi.,
,Santos FC,56.0,24.2,11,€ 1.68 mi.,€ 94.20 mi.,
,Fluminense FC,59.0,23.5,7,€ 1.32 mi.,€ 77.70 mi.,
,SC Internacional,41.0,25.4,11,€ 1.88 mi.,€ 77.15 mi.,
,RB Bragantino,49.0,21.4,7,€ 1.55 mi.,€ 75.85 mi.,
,CR Vasco da Gama,70.0,22.7,10,€ 1.04 mi.,€ 72.85 mi.,
,EC Bahia,72.0,21.4,5,€ 979 mil,€ 70.50 mi.,
,Cruzeiro EC,51.0,23.5,1,€ 1.23 mi.,€ 62.75 mi.,
,Coritiba FC,61.0,24.6,8,€ 956 mil,€ 58.33 mi.,
,Athletico Paranaense,53.0,22.5,8,€ 1.09 mi.,€ 57.73 mi.,
,Fortaleza EC,44.0,26.0,8,€ 1.03 mi.,€ 45.33 mi.,
,América Mineiro,54.0,25.1,8,€ 633 mil,€ 34.18 mi.,
,Goiás EC,64.0,23.9,2,€ 435 mil,€ 27.83 mi.,
,Cuiabá EC,46.0,24.2,3,€ 465 mil,€ 21.38 mi.,
,,,1084.0,23.7 Anos,151,€ 1.54 mi.,€ 1.67 Bi.
