Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,CR Flamengo,61.0,23.1,5,€ 2.98 mi.,€ 181.95 mi.,
,SC Corinthians,52.0,24.2,7,€ 2.54 mi.,€ 131.90 mi.,
,Atlético Mineiro,44.0,25.0,8,€ 2.61 mi.,€ 115.00 mi.,
,SE Palmeiras,42.0,23.1,6,€ 2.66 mi.,€ 111.60 mi.,
,SC Internacional,51.0,24.0,10,€ 2.05 mi.,€ 104.43 mi.,
,Botafogo FR,62.0,24.0,6,€ 1.35 mi.,€ 83.45 mi.,
,Athletico Paranaense,67.0,21.9,9,€ 1.06 mi.,€ 70.93 mi.,
,São Paulo FC,48.0,23.0,10,€ 1.41 mi.,€ 67.88 mi.,
,Santos FC,52.0,22.6,9,€ 1.00 mi.,€ 52.18 mi.,
,RB Bragantino,47.0,21.4,6,€ 1.05 mi.,€ 49.28 mi.,
,Fluminense FC,46.0,25.3,5,€ 897 mil,€ 41.28 mi.,
,Fortaleza EC,43.0,25.7,7,€ 759 mil,€ 32.65 mi.,
,Avaí FC,64.0,25.2,3,€ 505 mil,€ 32.30 mi.,
,Ceará SC,52.0,24.5,2,€ 532 mil,€ 27.65 mi.,
,Cuiabá EC,63.0,22.8,3,€ 425 mil,€ 26.75 mi.,
,Coritiba FC,54.0,23.6,8,€ 475 mil,€ 25.63 mi.,
,América Mineiro,56.0,24.4,7,€ 439 mil,€ 24.58 mi.,
,EC Juventude,55.0,24.2,3,€ 403 mil,€ 22.18 mi.,
,Goiás EC,70.0,22.2,0,€ 303 mil,€ 21.20 mi.,
,Atlético Goianiense,52.0,22.9,3,€ 319 mil,€ 16.58 mi.,
,,,1081.0,23.7 Anos,117,€ 1.15 mi.,€ 1.24 Bi.
