#,Clube,Clube.1,Unnamed: 3,V,E,D,Gols,SG,Pts
1,,Flamengo,38,21,8,9,68:48,20,71
2,,Internacional,38,20,10,8,61:35,26,70
3,,Atlético-MG,38,20,8,10,64:45,19,68
4,,São Paulo,38,18,12,8,59:41,18,66
5,,Fluminense,38,18,10,10,55:42,13,64
6,,Grêmio,38,14,17,7,53:40,13,59
7,,Palmeiras,38,15,13,10,51:37,14,58
8,,Santos,38,14,12,12,52:51,1,54
9,,Athletico-PR,38,15,8,15,38:36,2,53
10,,Bragantino,38,13,14,11,50:40,10,53
11,,Ceará,38,14,10,14,54:51,3,52
12,,Corinthians,38,13,12,13,45:45,0,51
13,,Atlético-GO,38,12,14,12,40:45,-5,50
14,,Bahia,38,12,8,18,48:59,-11,44
15,,Sport,38,12,6,20,31:50,-19,42
16,,Fortaleza,38,10,11,17,34:44,-10,41
17,,Vasco da Gama,38,10,11,17,37:56,-19,41
18,,Goiás,38,9,10,19,41:63,-22,37
19,,Coritiba,38,7,10,21,31:54,-23,31
20,,Botafogo,38,5,12,21,32:62,-30,27
